"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Шкаф распределительный ПР11-УХЛ1 ЩРП №3" "Шкаф распределительный" 30.11.2007 "Оборудование СДТУ"   
"Шкаф распределительный ПР11-УХЛ1 ЩРП №3" "Шкаф распределительный" 30.11.2007 "Оборудование СДТУ"   
"Шкаф №49 РЩ 330 кВ распределительный №3." ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф №91 РЩ 750 кВ управления видео куба" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф №101 РЩ 750 кВ сетевых коммуникаций" "Шкаф коммуникационного сервера" 30.11.2007 "Оборудование СДТУ"   
"Шкаф №50 РЩ 330 кВ сбора информации №3" ПанелЩитШкафСвяз 30.11.2007 "Оборудование связи"   
"Шкаф №97 РЩ 750 кВ центрального координи" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф №98 РЩ 750 кВ центрального координи" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф №90 РЩ 750 кВ. Автоматизированное р" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф №1 РЩ 110 кВ сетевых коммуникаций №" "Шкаф коммуникационного сервера" 30.11.2007 "Оборудование СДТУ"   
"Шкаф №4 РЩ 110 кВ сбора информации ШСИ-1" ПанелЩитШкафСвяз 30.11.2007 "Оборудование связи"   
"Шкаф №100 РЩ 750 кВ сетевых коммуникаций" "Шкаф коммуникационного сервера" 30.11.2007 "Оборудование СДТУ"   
"Шкаф №73 РЩ 330 кВ перевода резервной фа" ПанельОперУправ 30.11.2007 "Оборудование СДТУ"   
"Шкаф связи настенный СКС 15ВЕ-600х573х74" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф № 1 связи напольный 42ВЕ-800х2000х8" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф № 2 связи напольный 42ВЕ-800х2000х8" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ-связи 64-68/40-44 кГц" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф терминала ВЧ-связи 72-76/80-84 кГц" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Приемопередатчик высокочастотной защиты" "Приемопередатчик ВЧ-защиты" 01.01.1900 "Оборудование связи"   
"Шкаф № 141 РЩ 750 кВ сбора информации №" УСПД 01.01.1900 "Оборудование СДТУ"   
"Шкаф № 142 РЩ 750 кВ сбора информации №" УСПД 01.01.1900 "Оборудование СДТУ"   
"Телефонная станция Panasonik KX" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Мультиплексор цифровой АМРХ" Мультиплексор 01.01.1900 "Оборудование связи"   
"Шкаф связи напольный 24U 600х600 (ОВК)" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи напольный 24U 600х600 (ТМХ)" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи напольный 42U 600х800 (АКРПБ)" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи напольный 42U 600х800 (АКРПБ)" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи напольный 42U 600х800 (ПСК)" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи настенный 12U 600х573х746 (На" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи настенный 12U 600х573х746 (ЗР" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи настенный 12U 600х573х746 (Пр" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи настенный 12U 600х573х746 (АК" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи настенный 12U 600х573х746 (КП" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи настенный 12U 600х473х612 (ЗР" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи настенный 12U 600х473х612 (Мо" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи настенный 12U 600х473х612 (Га" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Система громкоговорящей связи" ОборудГромкСвязи 01.01.1900 "Оборудование связи"   
"Телефонная канализация" "Канал/система связи" 01.01.1900 "Оборудование связи"   
"Система микросотовой связи DECT" ОборудСотовСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №1 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №2 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №3 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №4 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №5 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №6 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №7 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №8 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №9 типа Opti" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №10 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №11 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №12 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №13 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
"Телефонный аппарат цифровой №14 типа Opt" ОборудТелСвязи 01.01.1900 "Оборудование связи"   
