"10. РАЗЪЕДИНИТЕЛИ, ОТДЕЛИТЕЛИ, КОРОТКОЗАМЫКАТЕЛИ"                   

"Напряжение, кВ" "Диспетчерское
наименование" "Тип разъединителя" "Вид (трехфазный, однофазный )" "Номинальный 
ток, А" "Инвентарный номер" "Заводской номер" Завод-изготовитель "Дата изготовления" "Дата ввода в эксплуатацию" "Тип привода" "Заводской номер привода" Ремонт   "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО" "Дата расчета ИТС" ИТС
            Вид Дата "Номер заказа АСУ ТОиР"     
 "ШР В 2252 ф.С" ELK-EB3   0209-2-14-43505 2162897 ABB 2007 01.01.2008          
 "ШР В 2252 ф.В" ELK-EB3   0209-2-14-43505 2162896 ABB 2007 01.01.2008          
 "ЛР В 2244 ф.А" ELK-EB3   0209-2-14-43504 2163041 ABB 2007 01.01.2009          
 "ЛР В 2244 ф.С" ELK-EB3   0209-2-14-43504 2163043 ABB 2007 01.01.2009          
 "ЛР В 2244 ф.В" ELK-EB3   0209-2-14-43504 2163042 ABB 2007 01.01.2009          
 "ШР В 2244 ф.В" ELK-EB3   0209-2-14-43504 2163069 ABB 2007 01.01.2009          
 "ШР В 2244 ф.С" ELK-EB3   0209-2-14-43504 2163070 ABB 2007 01.01.2009          
 "ШР В 2244 ф.А" ELK-EB3   0209-2-14-43504 2163068 ABB 2007 01.01.2009          
 "ЛР В 2242 ф.В" ELK-EB3   0209-2-14-43503 2162948 ABB 2007 01.01.2009          
 "ЛР В 2242 ф.С" ELK-EB3   0209-2-14-43503 2162949 ABB 2007 01.01.2009          
 "ЛР В 2242 ф.А" ELK-EB3   0209-2-14-43503 2162947 ABB 2007 01.01.2009          
 "ШР В 2242 ф.А" ELK-EB3   0209-2-14-43503 2162926 ABB 2007 01.01.2009          
 "ШР В 2242 ф.С" ELK-EB3   0209-2-14-43503 2162928 ABB 2007 01.01.2009          
 "ШР В 2242 ф.В" ELK-EB3   0209-2-14-43503 2162927 ABB 2007 01.01.2009          
 "ЛР В 2234 ф.С" ELK-EB3   0209-2-14-43502 2163061 ABB 2007 01.01.2011          
 "ЛР В 2234 ф.В" ELK-EB3   0209-2-14-43502 2163060 ABB 2007 01.01.2011          
 "ЛР В 2234 ф.А" ELK-EB3   0209-2-14-43502 2163059 ABB 2007 01.01.2011          
 "ШР В 2234 ф.С" ELK-EB3   0209-2-14-43502 2163037 ABB 2007 01.01.2011          
 "ШР В 2234 ф.В" ELK-EB3   0209-2-14-43502 2163036 ABB 2007 01.01.2011          
 "ШР В 2234 ф.А" ELK-EB3   0209-2-14-43502 2163035 ABB 2007 01.01.2011          
 "ЛР В 2232 ф.А" ELK-EB3   0209-2-14-43501 2162911 ABB 2007 01.01.2011          
 "ЛР В 2232 ф.В" ELK-EB3   0209-2-14-43501 2162912 ABB 2007 01.01.2011          
 "ЛР В 2232 ф.С" ELK-EB3   0209-2-14-43501 2162913 ABB 2007 01.01.2011          
 "ШР В 2232 ф.А" ELK-EB3   0209-2-14-43501 2162892 ABB 2007 01.01.2011          
 "ШР В 2232 ф.В" ELK-EB3   0209-2-14-43501 2162893 ABB 2007 01.01.2011          
 "ШР В 2232 ф.С" ELK-EB3   0209-2-14-43501 2162894 ABB 2007 01.01.2011          
 "ТР В 2224 ф.В" ELK-EB3   0209-2-14-43500 2163066 ABB 2007 01.01.2008          
 "ТР В 2224 ф.С" ELK-EB3   0209-2-14-43500 2163067 ABB 2007 01.01.2008          
 "ТР В 2224 ф.А" ELK-EB3   0209-2-14-43500 2163065 ABB 2007 01.01.2008          
 "ШР В 2224 ф.С" ELK-EB3   0209-2-14-43500 2163055 ABB 2007 01.01.2008          
 "ШР В 2224 ф.А" ELK-EB3   0209-2-14-43500 2163053 ABB 2007 01.01.2008          
 "ШР В 2224 ф.В" ELK-EB3   0209-2-14-43500 2163054 ABB 2007 01.01.2008          
 "ТР В 2222 ф.В" ELK-EB3   0209-2-14-43499 2162887 ABB 2007 01.01.2008          
 "ТР В 2222 ф.С" ELK-EB3   0209-2-14-43499 2162888 ABB 2007 01.01.2008          
 "ТР В 2222 ф.А" ELK-EB3   0209-2-14-43499 2162886 ABB 2007 01.01.2008          
 "ШР В 2222 ф.В" ELK-EB3   0209-2-14-43499 2162942 ABB 2007 01.01.2008          
 "ШР В 2222 ф.С" ELK-EB3   0209-2-14-43499 2162943 ABB 2007 01.01.2008          
 "ШР В 2222 ф.А" ELK-EB3   0209-2-14-43499 2162941 ABB 2007 01.01.2008          
 "ЛР В 2214 ф.В" ELK-EB3   0209-2-14-43498 2163030 ABB 2007 01.01.2009          
 "ЛР В 2214 ф.А" ELK-EB3   0209-2-14-43498 2163029 ABB 2007 01.01.2009          
 "ЛР В 2214 ф.С" ELK-EB3   0209-2-14-43498 2163031 ABB 2007 01.01.2009          
 "ШР В 2214 ф.В" ELK-EB3   0209-2-14-43498 2163018 ABB 2007 01.01.2009          
 "ШР В 2214 ф.С" ELK-EB3   0209-2-14-43498 2163019 ABB 2007 01.01.2009          
 "ШР В 2214 ф.А" ELK-EB3   0209-2-14-43498 2163017 ABB 2007 01.01.2009          
 "ЛР В 2202 ф.А" ELK-EB3   0209-2-14-43497 2162923 ABB 2007 01.01.2009          
 "ЛР В 2202 ф.С" ELK-EB3   0209-2-14-43497 2162925 ABB 2007 01.01.2009          
 "ЛР В 2202 ф.В" ELK-EB3   0209-2-14-43497 2162924 ABB 2007 01.01.2009          
 "ШР В 2202 ф.В" ELK-EB3   0209-2-14-43497 2162875 ABB 2007 01.01.2009          
 "ШР В 2202 ф.С" ELK-EB3   0209-2-14-43497 2162876 ABB 2007 01.01.2009          
 "ШР В 2202 ф.А" ELK-EB3   0209-2-14-43497 2162874 ABB 2007 01.01.2009          
 "ТР В 2194 ф.А" ELK-EB3   0209-2-14-43496 2163044 ABB 2007 01.01.2008          
 "ТР В 2194 ф.С" ELK-EB3   0209-2-14-43496 2163046 ABB 2007 01.01.2008          
 "ТР В 2194 ф.В" ELK-EB3   0209-2-14-43496 2163045 ABB 2007 01.01.2008          
 "ШР В 2194 ф.В" ELK-EB3   0209-2-14-43496 2163039 ABB 2007 01.01.2008          
 "ШР В 2194 ф.А" ELK-EB3   0209-2-14-43496 2163038 ABB 2007 01.01.2008          
 "ШР В 2194 ф.С" ELK-EB3   0209-2-14-43496 2163040 ABB 2007 01.01.2008          
 "ТР В 2192 ф.А" ELK-EB3   0209-2-14-43495 2162920 ABB 2007 01.01.2008          
 "ТР В 2192 ф.С" ELK-EB3   0209-2-14-43495 2162922 ABB 2007 01.01.2008          
